name,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
Acidophilus milk,108.0,,10.0,93.0,140.0,0.001,,0.41,0.95,0.15,0.02,0.00013000000000000002,0.028,,
"Acidophilus milk, QUAL Semi-skimmed",108.0,,10.0,93.0,140.0,0.001,,0.41,0.69,0.15,0.02,0.00013000000000000002,0.028,,0.0
"Acidophilus milk, QUAL Skim",108.0,,10.0,93.0,140.0,0.001,,0.41,0.712,0.15,0.02,0.00013000000000000002,0.028,,0.0
Alcoholic sweet sauce,26.0,0.084,7.0,95.0,65.0,,1.319,0.711,0.956,0.087,0.037,0.0004,0.041,0.865,0.002
Alcopop and flavoured wine,6.0,,1.0,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.001,0.0,0.0
Ale beer,7.0,0.07,6.0,11.0,33.0,,,0.3,0.943,0.02,0.001,0.0001,0.01,0.0,0.0
Alfalfa sprouts,32.0,0.16,27.0,70.0,79.0,0.001,1.0,0.9,1.383,0.06,0.04,0.0,0.03,0.09,
"Alfalfa sprouts, PROCESS Cooking in water",33.0,0.166,24.0,70.0,65.0,,0.895,0.856,1.304,0.111,0.063,0.0,0.029,0.095,
"Alfalfa sprouts, PROCESS Steaming",25.8,0.164,21.0,100.0,149.0,,0.91,0.41,1.35,0.124,0.084,0.0,0.081,0.094,
Allspice fruit,660.0,0.55,130.0,110.0,1040.0,0.005,7.1,1.0,4.15,0.06,0.1,0.0,0.2,,0.0
Almond drink,19.0,,16.5,39.0,60.0,0.0005,0.4,0.2,0.1,0.02,0.04,0.0,0.05,0.03,0.0
Almonds sweet,283.0,0.65,305.0,625.0,822.0,0.002,3.3,3.1,7.8,0.7,0.11,0.0,0.06,21.8,0.0
"Almonds sweet, PROCESS Baking",240.0,1.02,270.0,560.0,790.0,0.004,3.1,3.3,6.975,0.57,0.13,0.0,0.09,24.36,0.0
"Almonds sweet, PROCESS Cooking in water",79.0,0.773,203.0,332.0,597.0,,2.901,3.023,5.988,0.149,0.161,0.0,0.018,24.8,0.0
"Almonds sweet, PROCESS Steaming",79.0,0.773,203.0,332.0,597.0,,2.901,3.023,5.988,0.149,0.161,0.0,0.018,24.8,0.0
Amaranth flour,214.0,0.777,266.0,455.0,366.0,,7.59,3.18,4.303,0.208,0.08,0.0,0.223,0.1,0.001
American persimmons,12.1,0.19,25.0,46.5,450.0,0.0008,0.4,0.64,1.45,0.18,0.1,0.0,0.36,1.3,0.008
Amphibians and Reptiles,18.0,,23.0,147.0,310.0,0.0141,1.5,2.0,1.2,0.25,0.14,,1.2,0.8,
Anchovies,145.0,0.16,18.3,210.0,165.0,0.02,1.8,3.4,3.43,0.12,0.06,0.0035,0.175,0.9,0.0
"Anchovies, PROCESS Baking",98.0,0.24,44.0,252.0,283.0,,4.995,1.115,24.022,0.27,0.02,0.0006,0.154,0.56,0.0
"Anchovies, PROCESS Cooking in water",103.0,0.24,44.0,250.0,263.0,0.02,4.947,1.174,21.017,0.239,0.02,0.0006,0.126,0.568,0.0
"Anchovies, PROCESS Frying",98.0,0.24,44.0,252.0,283.0,,4.995,1.115,25.621,0.291,0.02,0.0006,0.137,0.56,0.0
"Anchovies, PROCESS Steaming",103.0,0.24,44.0,250.0,263.0,,4.947,1.174,21.017,0.239,0.02,0.0006,0.126,0.568,0.0
Angelica (leaves and stems),400.0,0.073,34.0,41.3,597.0,0.0001,1.6,1.1,2.4,0.34,0.125,0.0,0.026,2.9,
Anglerfish and monkfish,8.0,0.01,21.0,330.0,300.0,0.037,0.3,0.5,4.5,0.06,0.03,0.002,0.15,1.0,0.0
"Anglerfish and monkfish, PROCESS Baking",12.0,0.01,30.0,480.0,430.0,,0.5,0.7,5.989,0.08,0.04,0.0021000000000000003,0.141,1.105,0.0
"Anglerfish and monkfish, PROCESS Cooking in water",25.0,0.012,33.0,233.0,235.0,,0.319,0.593,4.606,0.064,0.023,0.0021000000000000003,0.141,1.105,0.0
"Anglerfish and monkfish, PROCESS Frying",25.0,0.012,33.0,233.0,235.0,,0.319,0.593,4.606,0.064,0.023,0.0021000000000000003,0.141,1.105,0.0
"Anglerfish and monkfish, PROCESS Steaming",25.0,0.012,33.0,233.0,235.0,,0.319,0.593,4.606,0.064,0.023,0.0021000000000000003,0.141,1.105,0.0
Anise seed,650.0,0.91,170.0,440.0,1440.0,0.005,37.0,5.3,4.617,0.2,0.3,0.0,0.2,0.0,0.0
Aniseed myrtle,56.9,0.09,13.0,53.0,253.0,0.0001,1.3,0.46,1.183,0.2,0.07,0.0,0.22,1.6,0.31
Apple chutney,9.0,,19.0,8.0,42.0,0.001,1.1,,0.4,0.01,,0.0,0.09,0.2,0.002
Apple strudel,51.1,0.066,10.5,41.4,110.0,0.00014000000000000001,0.96,0.17,0.69,0.013,0.083,0.0,0.05,1.21,0.004
Apples and similar-,4.0,0.03,,11.0,123.0,,0.1,0.08,0.333,0.01,0.01,0.0,0.034,0.3,0.006
"Apples and similar-, PROCESS Baking",16.0,0.04,13.0,27.0,266.0,,0.28,0.05,0.263,0.024,0.019,0.0,0.045,0.534,0.006
"Apples and similar-, PROCESS Cooking in water",4.0,0.03,3.0,7.0,92.0,0.0,0.1,0.07,0.322,0.01,0.01,0.0,0.027,0.1,0.006
